2025-01-30 23:16:48,461 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-01-30 23:16:48,620 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-01-30 23:16:49,578 - INFO - Scraping messages from DoctorsET
2025-01-30 23:17:14,571 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:14,778 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:14,983 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:15,198 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:15,644 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:15,888 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:16,258 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:16,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:16,978 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:17,630 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:17,882 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:18,083 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:18,355 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:18,575 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:18,950 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:19,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:19,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:20,453 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:20,673 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:20,948 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:21,160 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:21,674 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:22,195 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:22,757 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:22,960 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:23,603 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:24,284 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:24,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:25,117 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:25,344 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:25,592 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:25,901 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:26,199 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:26,359 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:26,760 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:26,982 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:27,295 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:27,513 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:27,700 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:27,910 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:28,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:28,832 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:29,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:29,798 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:29,986 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:30,423 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:30,919 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:31,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:31,443 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:31,647 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:31,820 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:32,259 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:32,503 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:32,694 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:33,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:33,511 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:33,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:34,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:34,250 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:34,525 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:34,750 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:35,058 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:35,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:35,729 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:36,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:36,467 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:36,696 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:36,999 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:37,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:38,009 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:38,245 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:38,491 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:38,835 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:39,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:39,436 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:39,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:40,437 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:40,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:40,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:41,378 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:41,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:41,817 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:42,055 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:42,276 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:42,542 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:42,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:43,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:43,600 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:43,898 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:44,121 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:44,405 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:44,563 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:44,963 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:45,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:45,696 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:45,920 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:46,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:46,566 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:46,861 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:47,202 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:48,200 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:48,453 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:48,724 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:48,987 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:49,487 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:49,828 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:50,010 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:50,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:50,726 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:50,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:51,123 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:51,392 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:51,603 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:51,878 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:52,802 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:52,937 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:53,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:53,415 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:53,836 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:54,095 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:54,280 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:54,620 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:54,814 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:55,011 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:55,377 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:55,611 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:55,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:56,096 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:56,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:56,594 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:57,047 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:57,326 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:57,730 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:57,937 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:58,339 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:58,586 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:58,932 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:59,174 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:59,427 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:59,762 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:17:59,928 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:00,178 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:00,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:00,637 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:01,069 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:01,279 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:01,758 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:02,234 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:02,577 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:02,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:03,107 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:03,515 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:03,746 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:04,319 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:04,537 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:04,797 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:05,129 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:05,394 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:05,841 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:06,130 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:06,581 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:07,419 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:07,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:07,984 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:08,360 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:08,781 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:08,989 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:09,210 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:09,719 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:09,934 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:10,140 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:10,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:10,634 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:10,948 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:11,259 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:11,517 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:11,764 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:12,191 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:12,428 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:12,622 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:12,896 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:13,092 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:13,432 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:14,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 23:18:14,699 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
